drug,condition,review,effect,rating
NORVASC,High Blood Pressure,{''},"I have been taking this pill for about 9 months or so, plus I am in full-blown menopause (due to ovaries being surgically removed) as of a year ago. Until now, I have been blaming everything on my menopause. Lately, I have been having severe ankle and feet swelling during the day and especially at night and figured I would look up the side effects. About 3-4 months ago, I started having severe fatigue, leg pain and weakness, weight gain (about 30 lbs in 3-4 month period) w/o any major changes to my diet, heart palpitations, dizziness, and depression. Plus, it has not really helped my blood pressure. I will be contacting my doctor first thing tomorrow to ask if he can put me on another blood pressure medication, which I will do some research on first.",1
NORVASC,High blood preassure,"{""Yesteday my Dr let me of this drug, my BP was high again, btw, even while on med. I am now allowed to stay without medication for a month and will try my best by life changing, diet and exercise, promising to check my BP daily. Very understanding doctor. Thanks to this site I feel like I'm getting my life back again! I did not realize my problems could come from the drug until I read this. Though I was going crazy!""}","First I got swollen ankles and feet and that made me very sad because no matter I am overweight I've always had slim beautiful legs and ankles, which I was very poud of. Now this was taken away from me...This got better but after a weekend of zumba dancing it started again and still continues a month later. Heavy, burning legs, puffiness around eyes. This got me thinking about changing med. Found this site a couple of days ago and realized that many of my problems are retaled to this drug! Depression, fatigue, insomnia, ringing in my ears, weightgain, you name it.",1
NORVASC,high blood pressure,"{""READ BELOW! If it had not been quick thinking on my son's part, I would not be here right now.""}",crippling depression with overwhelming suicidal thoughts -- resulting in a suicidal attempt. Now on anti-depressant and bp and diabetes are stable also.,1
NORVASC,High Blood Pressure,"{""I'm giving it another chance, but I'm proceeding with caution.""}","After about 2 months at 5 mg. with no discernable side effects, blood pressure wasn't decreased enough, so my doctor increased dosage to 10 mg. Shortly thereafter, I had horrible diarrhea and loose stools for 3 weeks, then one recent evening after standing for 6 hours, I developed severe swelling in both legs with a warm, bright red rash. The next day, I had a bowel movement with traces of blood (which my doctor said was unrelated, but I disagree). Doctor decreased dosage back to 5 mg. and the symptoms resolved. I also lost about 4 pounds within a couple of days due to water retention. I've been feeling a bit depressed, but not sure if that's due to the medication. I'm prone to depression/anxiety. I also have to be very careful when working out (I go to gym 3x a week) because after I stop exercising, my blood pressure drops significantly, which causes dizziness. The good news is, today my BP was 126/76, which is excellent for me.",3
NORVASC,Hypertension,"{'Went to Doc immediately after seeing this web site, took me off it and began to see side effects stop. now taking beta blocker Atenolol.'}","after 1st week, itchy red rash all over back. nose bleeds, second week significant swelling of feet then ankles and then up to knees. ""pitting edema"". was not taking with diuretic.",1
NORVASC,high blood pressure,{''},"I had dizziness, low pulse rate, tingling in the hands, flushing, strange dreams and depression. My bp came down some, but not enough. The depression and sadness I felt made me stop taking it. I know that was not normal for me.",1
NORVASC,,{''},"Trouble breathing- felt like I had to get a deep breath every few minutes and couldn't do so. Felt like I had a constant lump at the back of my throat- like the tickle of a cough. Felt very tired, anxious and stressed out. Started out the first month at 2.5 mg and then was upped to 5 mg. Developed a itchy rash on my back after I started the 5 mg (Dr confirmed the rash was a rxn to the drug). The drug did not help my blood pressure- the bottom number dropped a little, but the top number stayed the same. It wasn't until I came to this website that I put all of my adverse rxns together. I now have to take Medrol dosepack to help get rid of the rash. My dr switched me to Benicar, and the other symptoms have gone away. I will never take Norvasc again.",1
NORVASC,Hypertension,{''},"I had the brown leopard spots, the pinpoint rash the extreme muscle cramps and some sort of numbness in my extremities and on my face. I removed myself from the medicine after 4 years because my doctor WOULD NOT listen to me. I have been off of it for 6 months and just found out I have stage four gum disease which my dentist stated was from the medication. This is a horrible horrible medicine and it should be banned!!!!!",1
NORVASC,high blood pressure,"{'this was the worst medicine, i thought i was loosing my mind. It definately made me closer to God!'}",Depression/ aniexty / tingling hands and feet/,1
NORVASC,hypertension,{''},"Extreme leg swelling at end of day. Increased heart rate to over 100! Now slight chest pain. EKG normal., BP fairly steady but still too high. Doctors say to put legs up and continue.... but am searching for another drug...",3
NORVASC,high blood pressure,{''},occasionally slight swelling in ankles/feet,4
NORVASC,Hypertension,{''},"Urine turned yellow with an odor from day one. After 3 months returning to normal with some days still yellow. Leg pain now beginning, lower back pain, also. Not sure if these daily headaches I'm now having are due to Norvasc, but will give it a little more time unless the pain becomes intolerable. I have always exercised, weight is good, and I am healthy. First findings of HBP just over 3 months ago after a bout of unexpained severe muscle pain on upper left back, right after I received the Shingles vaccine. Bp was 190/95 now 138/80 and lower.",3
NORVASC,hbp/stroke,"{""I cannot lose the weight and it's in my stomach.\nNow taking atenolol which is even worse. My life has no joy.""}",my dr increased me to 10 mg. Terrible constipation and gained 17 lbs. almost overnight. Could not do my exercizes or walk. I had taken cozaar for years but medicare would not pay.,2
NORVASC,High Blood Pressure,"{'I found that Norvasc works well over time. Along with a combination of Lisinopril HCTZ (x2, my BP as finally lowered from 170-140/110-100 range to now below 120/80. I can only hope that this continues, but only time will tell.'}",None.,4
NORVASC,High blood pressure,"{""I can't say as though it has made much of a difference in my BP. Everytime I take it at home, it's consistently high. At my 3 week check-up after being put on Norvasc, the dr said my # showed some improvement, but it was an 8am appt. BP is always lower when you first wake up.""}",Absolutely no side effects! I take it in the early evening & sleep better than usual,4
